Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-c9te,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,Spreadsheet Name,randomise_blocks,randomise_trials,display,ANSWER,chosen face,not chosen face,rand_male_face1,rand_male_face2,rand_male_face3,rand_male_face4,rand_male_face5,rand_male_face6,rand_male_face7,rand_male_face8,image_male,Participant_preference,face_rating,random number,fixation_times
19,1590493152509,26/05/2020 11:39:12,1590493152119,1,26/05/2020 12:39:12,17411,6,task-rq1q,,5141161,qlm0bu8d,1453092,,complete,serwba,,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1536x864,1214x611,,Male sequence,6,Male,,16,congratulations,rating19,response_rating_scale_likert_active,1069.1549999755807,7,1,0,1,0,,,,Spreadsheet1,,1,sequence,,,,Google_1_John Felker_3_oval.jpg,Google_1_James Vandenberg_5_oval.jpg,Google_1_Kevin Boren_1_oval.jpg,Google_1_Jacob Fields_15_oval.jpg,Google_1_Edward Kiely_15_oval.jpg,Google_1_Jeffrey Tincher_1_oval.jpg,Google_1_Christopher Baylor_5_oval.jpg,Google_1_Jason Penner_7_oval.jpg,,,,,
20,1590493153619,26/05/2020 11:39:13,1590493153246,1,26/05/2020 12:39:13,17411,6,task-rq1q,,5141161,qlm0bu8d,1453092,,complete,serwba,,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1536x864,1214x611,,Male sequence,6,Male,,1,option1,choice,response_button_image,821.2799999746494,Google_1_Albert Belk_7_oval.jpg,1,1,0,0,,,,Spreadsheet1,,1,sequence,,,,Google_1_Albert Belk_7_oval.jpg,Google_1_Jonathan Gaudette_3_oval.jpg,Google_1_Jerry Cunha_3_oval.jpg,Google_1_Joe Garver_12_oval.jpg,Google_1_Henry Morel_7_oval.jpg,Google_1_Albert Braun_15_oval.jpg,Google_1_James Serrano_19_oval.jpg,Google_1_Charles Carruth_5_oval.jpg,,,,,
21,1590493154259,26/05/2020 11:39:14,1590493153903,1,26/05/2020 12:39:13,17411,6,task-rq1q,,5141161,qlm0bu8d,1453092,,complete,serwba,,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1536x864,1214x611,,Male sequence,6,Male,,9,grey1,Zone1,continue_button,636.8499999516644,,,0,1,0,,,,Spreadsheet1,,1,sequence,,,,Google_1_Albert Belk_7_oval.jpg,Google_1_Jonathan Gaudette_3_oval.jpg,Google_1_Jerry Cunha_3_oval.jpg,Google_1_Joe Garver_12_oval.jpg,Google_1_Henry Morel_7_oval.jpg,Google_1_Albert Braun_15_oval.jpg,Google_1_James Serrano_19_oval.jpg,Google_1_Charles Carruth_5_oval.jpg,,,,,
22,1590493154467,26/05/2020 11:39:14,1590493154110,1,26/05/2020 12:39:14,17411,6,task-rq1q,,5141161,qlm0bu8d,1453092,,complete,serwba,,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1536x864,1214x611,,Male sequence,6,Male,,10,grey2,Zone1,continue_button,190.36499998765066,,,0,1,0,,,,Spreadsheet1,,1,sequence,,,,Google_1_Albert Belk_7_oval.jpg,Google_1_Jonathan Gaudette_3_oval.jpg,Google_1_Jerry Cunha_3_oval.jpg,Google_1_Joe Garver_12_oval.jpg,Google_1_Henry Morel_7_oval.jpg,Google_1_Albert Braun_15_oval.jpg,Google_1_James Serrano_19_oval.jpg,Google_1_Charles Carruth_5_oval.jpg,,,,,
23,1590493154686,26/05/2020 11:39:14,1590493154319,1,26/05/2020 12:39:14,17411,6,task-rq1q,,5141161,qlm0bu8d,1453092,,complete,serwba,,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1536x864,1214x611,,Male sequence,6,Male,,11,grey3,Zone1,continue_button,172.2050000098534,,,0,1,0,,,,Spreadsheet1,,1,sequence,,,,Google_1_Albert Belk_7_oval.jpg,Google_1_Jonathan Gaudette_3_oval.jpg,Google_1_Jerry Cunha_3_oval.jpg,Google_1_Joe Garver_12_oval.jpg,Google_1_Henry Morel_7_oval.jpg,Google_1_Albert Braun_15_oval.jpg,Google_1_James Serrano_19_oval.jpg,Google_1_Charles Carruth_5_oval.jpg,,,,,
24,1590493154858,26/05/2020 11:39:14,1590493154495,1,26/05/2020 12:39:14,17411,6,task-rq1q,,5141161,qlm0bu8d,1453092,,complete,serwba,,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1536x864,1214x611,,Male sequence,6,Male,,12,grey4,Zone1,continue_button,158.83999998914078,,,0,1,0,,,,Spreadsheet1,,1,sequence,,,,Google_1_Albert Belk_7_oval.jpg,Google_1_Jonathan Gaudette_3_oval.jpg,Google_1_Jerry Cunha_3_oval.jpg,Google_1_Joe Garver_12_oval.jpg,Google_1_Henry Morel_7_oval.jpg,Google_1_Albert Braun_15_oval.jpg,Google_1_James Serrano_19_oval.jpg,Google_1_Charles Carruth_5_oval.jpg,,,,,
25,1590493155045,26/05/2020 11:39:15,1590493154677,1,26/05/2020 12:39:14,17411,6,task-rq1q,,5141161,qlm0bu8d,1453092,,complete,serwba,,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1536x864,1214x611,,Male sequence,6,Male,,13,grey5,Zone1,continue_button,161.0050000017509,,,0,1,0,,,,Spreadsheet1,,1,sequence,,,,Google_1_Albert Belk_7_oval.jpg,Google_1_Jonathan Gaudette_3_oval.jpg,Google_1_Jerry Cunha_3_oval.jpg,Google_1_Joe Garver_12_oval.jpg,Google_1_Henry Morel_7_oval.jpg,Google_1_Albert Braun_15_oval.jpg,Google_1_James Serrano_19_oval.jpg,Google_1_Charles Carruth_5_oval.jpg,,,,,
26,1590493155217,26/05/2020 11:39:15,1590493154862,1,26/05/2020 12:39:14,17411,6,task-rq1q,,5141161,qlm0bu8d,1453092,,complete,serwba,,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1536x864,1214x611,,Male sequence,6,Male,,14,grey6,Zone1,continue_button,166.46499995840713,,,0,1,0,,,,Spreadsheet1,,1,sequence,,,,Google_1_Albert Belk_7_oval.jpg,Google_1_Jonathan Gaudette_3_oval.jpg,Google_1_Jerry Cunha_3_oval.jpg,Google_1_Joe Garver_12_oval.jpg,Google_1_Henry Morel_7_oval.jpg,Google_1_Albert Braun_15_oval.jpg,Google_1_James Serrano_19_oval.jpg,Google_1_Charles Carruth_5_oval.jpg,,,,,
27,1590493155702,26/05/2020 11:39:15,1590493155336,1,26/05/2020 12:39:15,17411,6,task-rq1q,,5141161,qlm0bu8d,1453092,,complete,serwba,,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1536x864,1214x611,,Male sequence,6,Male,,15,grey7,Zone1,continue_button,456.52499998686835,,,0,1,0,,,,Spreadsheet1,,1,sequence,,,,Google_1_Albert Belk_7_oval.jpg,Google_1_Jonathan Gaudette_3_oval.jpg,Google_1_Jerry Cunha_3_oval.jpg,Google_1_Joe Garver_12_oval.jpg,Google_1_Henry Morel_7_oval.jpg,Google_1_Albert Braun_15_oval.jpg,Google_1_James Serrano_19_oval.jpg,Google_1_Charles Carruth_5_oval.jpg,,,,,
28,1590493156967,26/05/2020 11:39:16,1590493156600,1,26/05/2020 12:39:16,17411,6,task-rq1q,,5141161,qlm0bu8d,1453092,,complete,serwba,,computer,Desktop or Laptop,Windows 10,Chrome 81.0.4044.138,1536x864,1214x611,,Male sequence,6,Male,,16,congratulations,rating19,response_rating_scale_likert_active,1172.1100000431761,7,1,0,1,0,,,,Spreadsheet1,,1,sequence,,,,Google_1_Albert Belk_7_oval.jpg,Google_1_Jonathan Gaudette_3_oval.jpg,Google_1_Jerry Cunha_3_oval.jpg,Google_1_Joe Garver_12_oval.jpg,Google_1_Henry Morel_7_oval.jpg,Google_1_Albert Braun_15_oval.jpg,Google_1_James Serrano_19_oval.jpg,Google_1_Charles Carruth_5_oval.jpg,,,,,
