V1,subj_idx,subnum_J,turkId,PrivateID,Direction,PDI,PDI_GROUP,CAPS,CAPS_GROUP,ASI,ASI_GROUP,dospert,DOSPERT_GROUP,samples,SAMPLES_GROUP,ranks,gender,language,education,religion,crtFamiliarity,verbalReasoning,wordSum,crt,intuitive,cape,pdiDichot,beadsDraws,DTD_GROUP,la_bead,adj_3,adj_6,adj_9,overAdjust,ipr,pr,bade,evidenceInt,evidIntImp,bace,posResp,la_bade,attempts,unchanged_bade,unchanged_bead,checks_passed,inattentive,unresponsive,check_match,drift_rate,decision_trheshold,trial,rt,response
2264,gllrgo,547,A1GRPIBHW72HDU,1649955,Right,58,HPDI,25,HCAPS,10,HASI,121,HDOSPERT,5.666666667,HSAM,7.25,1,1,2,75,5,.75,.571428571,.857142857,.142857143,4,7,9,LDTD,65,0,0,0,0,51,1,-.2675,1.175,.8875,.3,3.9175,.4625,0,0,0,2,False,False,True,.829680745,2.81146072,1,2.63075862068966,.827586206896552
2353,tgrckb,656,APDDA1Y59RHV9,1649956,Right,17,LPDI,18,HCAPS,12,HASI,63,LDOSPERT,5.833333333,HSAM,7,0,1,2,100,4,.5,.571428571,.571428571,.285714286,1,2,10,HDTD,89,-15,-2,1,-16,45.5,17.5,-.745,-.29375,.3825,.25375,4.3375,.33625,0,0,0,3,False,False,True,2.568106447,1.313370111,1,.7622965,.933333333333333
1939,xsblsk,276,A3MYPYBVHX7FQ2,1649961,Right,150,HPDI,97,HCAPS,18,HASI,137,HDOSPERT,5.333333333,LSAM,7.166666667,1,1,2,100,5,1,.785714286,.571428571,.428571429,12,16,11,HDTD,0,0,0,0,0,50.5,.5,-.3275,.5475,.57,.41,3.42625,.31375,0,0,0,3,False,False,True,2.302260952,2.588005265,1,.751442833333333,.933333333333333
3533,yzqvim,663,A3OV174HQJIJK8,1649968,Right,28,HPDI,0,LCAPS,7,HASI,52,LDOSPERT,6.833333333,HSAM,6,1,1,2,100,5,.75,1,1,0,2,3,14,HDTD,100,0,-5,0,-5,57.5,0,-.49625,.68125,.81375,.1775,4.3525,.44,1,1,0,3,False,False,True,.933246495,2.593472197,1,2.12918051724138,.827586206896552
2413,btesru,53,A31898LQJO7I3,1649969,Right,7,LPDI,5,LCAPS,9,HASI,79,LDOSPERT,5.833333333,HSAM,6.416666667,1,1,3,40,5,1,.714285714,.714285714,.285714286,1,1,9,LDTD,60,0,0,0,0,50,2.5,-.96875,-.755,.11,.23,4.1275,.10875,0,0,0,3,False,False,True,.87289338,3.021680194,1,2.2247,.866666666666667
2383,hnzlsr,948,A22LQL0UHAOMC9,1649972,Right,0,LPDI,0,LCAPS,2,LASI,67,LDOSPERT,5.833333333,HSAM,4.833333333,0,1,3,100,5,.5,.714285714,.857142857,.142857143,0,0,11,HDTD,56,-9,1,2,-6,60,.5,-.54,.22625,.54,.26,4.06,.33125,0,0,0,3,False,False,True,1.805960427,1.255101749,1,.931266666666667,.866666666666667
1172,nhtyds,197,A2TUUIV61CR0C7,1649974,Right,63,HPDI,4,LCAPS,6,LASI,69,LDOSPERT,4.833333333,LSAM,6.916666667,0,1,1,50,1,1,.714285714,.428571429,.571428571,7,6,12,HDTD,40,0,0,0,0,50,0,-.4175,.595,.67125,.2475,4.19625,.3125,0,0,0,3,False,False,True,.445476504,2.488406676,1,2.10135616666667,.833333333333333
116,hsddii,819,A2EED3HLTA96CP,1649978,Right,0,LPDI,0,LCAPS,0,LASI,60,LDOSPERT,2.666666667,LSAM,6.5,0,1,3,1,4,.75,1,.857142857,.142857143,0,0,11,HDTD,66,-2,0,0,-2,50,1,-.6525,-.48875,.215,.46,3.23875,.1825,0,1,0,3,False,False,True,1.494927896,1.983560331,1,1.27116666666667,.933333333333333
1144,hgsqom,345,A7XOIQCYY2YCO,1649984,Right,23,HPDI,0,LCAPS,2,LASI,56,LDOSPERT,4.833333333,LSAM,6.666666667,0,1,3,100,4,1,.642857143,.714285714,.285714286,0,2,14,HDTD,80,0,-12,0,-12,50,0,-.23125,1.02125,.77125,.16375,3.65625,.35375,0,0,0,3,False,False,True,1.150991054,6.349267642,1,3.33107142857143,.964285714285714
2204,drviyd,284,A2CHDWKAYZ3P3E,1649986,Left,22,HPDI,0,LCAPS,7,HASI,80,LDOSPERT,5.666666667,HSAM,6.833333333,1,1,1,10,5,.5,.571428571,.285714286,.714285714,1,2,9,LDTD,82,-23,-9,0,-32,66,0,-.55875,-.7,.155,.5075,3.07875,.14,0,0,0,2,False,False,True,1.927068243,1.015281139,1,.508732333333333,.866666666666667
3091,moxvav,471,A3HFFCEJ22YZFV,1649987,Left,0,LPDI,10,LCAPS,5,LASI,72,LDOSPERT,6.333333333,HSAM,6.833333333,0,1,1,100,5,.5,.571428571,.571428571,.285714286,0,0,1,LDTD,50,0,23,0,23,40,3.5,-.2325,.99375,.94375,.28625,4.665,.3,0,0,1,3,False,False,True,2.159409907,1.516012098,1,1.09402,.833333333333333
