,PrivateID,Motion choice RT,Motion choice accuracy,Best choice samples,Best choice accuracy,Beads samples,Beads liberal,Beads first rating,Beads prior rating,Beads overadjustment,BADE bias,BADE BACE,BADE response,BADE liberal,PDI,PDI-CAPE,CAPS,ASI,DOSPERT,Cognitive ability - crt,Cognitive Ability verbal,Cognitive ability wordsum,0,1,2,3,4,5,6
42,1650198,1.31533033333333,0.966666666666667,4.333333333,7.166666667,17,62,51.0,0.5,1,0.02125,0.57875,2.59875,0.17125,0,0,0,0,70,0.857142857,1.0,0.928571429,-1.2414603408694238,2.3235502347441077,-0.7499179338551498,0.6732723609608557,0.48006697488926314,0.43448275783291596,1.3351623949372615
43,1650211,0.883665172413793,0.931034482758621,5.5,5.833333333,9,62,45.5,4.5,0,1.48125,0.24375,3.8225,0.4625,26,4,0,0,129,0.571428571,1.0,0.571428571,-0.0765144963497604,-0.28373562828472876,0.7066011658599374,0.15067530219252948,1.1112013328033974,0.6127910742719517,-0.39993796607979126
44,1650220,1.33742,0.8,3.166666667,6.333333333,9,100,50.0,0.0,0,0.05875,0.2625,3.45375,0.31375,7,1,0,2,59,0.428571429,0.5,0.5,-0.6213078820608853,-0.3231254697552932,-0.45398207587911854,1.014820431570087,-0.6650028501409836,-0.62637948704499,0.30706202800467236
45,1650236,0.850292666666667,0.6,6.166666667,5.75,12,90,68.0,12.5,0,-0.225,0.12375,4.965,0.39875,10,0,11,4,61,0.857142857,0.75,0.428571429,-0.580247343583921,-1.8367158526817702,-0.18535096864879877,0.0003157748645990944,-1.7693928368026595,0.31135277973990394,-0.2249902352877324
46,1650241,3.749584,0.8,3.666666667,6.0,9,76,50.5,0.5,0,1.25375,0.28625,3.95125,0.415,20,0,39,15,57,0.0,1.0,0.928571429,-0.23479442453358348,-0.3046924526593658,0.8256639240635737,0.45031233218574923,0.03666281319912281,-1.362404586225367,0.5370532613771304
47,1650452,1.07380733333333,0.733333333333333,6.166666667,6.416666667,12,65,47.5,0.5,-19,0.45625,0.38875,4.00125,0.1875,26,4,85,12,52,0.857142857,0.75,0.428571429,0.527532952655907,0.4489274138244532,-1.0303555372023587,0.17583514740961398,-0.09339692856665259,0.3234785933571147,0.47861126613426674
48,1650514,2.04462266713333,0.5,6.333333333,6.25,11,76,50.0,0.0,0,0.10625,0.20375,4.4175,0.3725,48,4,33,7,77,0.428571429,0.25,0.642857143,0.5387830403054137,-1.2508108699970781,-0.454686478454302,0.49146697219306607,0.11519654097805655,-1.2338940458920253,0.07074176247132873
49,1651458,0.929981,0.9,2.0,6.833333333,8,75,50.5,12.5,2,1.44375,0.355,4.13875,0.52375,26,3,32,13,119,0.285714286,1.0,0.5,0.28613850217945613,0.622760377377121,1.7891349947645907,-0.34219844047281955,-0.01835477972709178,-0.08953140354696477,0.843095237549038
50,1651774,1.20127775862069,0.482758620689655,6.0,7.5,3,25,24.0,26.0,0,-0.5125,0.405,3.57875,0.2075,6,0,0,2,68,0.0,0.25,0.785714286,-0.9544605384719177,0.1131653883039415,-1.1152949731791304,-1.680964645641071,1.6820368403101285,-2.5356625326404756,1.03171049022586
51,1652166,1.25982266666667,0.966666666666667,3.666666667,4.833333333,9,83,57.5,7.5,0,0.4325,0.405,3.315,0.3475,39,4,20,5,55,0.857142857,1.0,1.0,0.2900048740520222,1.0784981965389182,0.09779591844973656,0.15150964020036556,-0.44953402598175307,0.5531091964970913,-0.0799169953804569
